FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
30055,McCone County,MT,21.9,1313.0,1,80
17029,Coles County,IL,52.8,41564.0,28,6785
72067,Hormigueros Municipio,PR,84.9,13136.0,0,2758
46095,Mellette County,SD,48.4,1427.0,4,169
53001,Adams County,WA,83.4,12814.0,4,1864
13027,Brooks County,GA,58.1,12122.0,12,1141
47067,Hancock County,TN,40.0,5237.0,13,703
28129,Smith County,MS,42.0,12265.0,15,1657
32011,Eureka County,NV,35.0,1533.0,2,-14
08041,El Paso County,CO,76.9,548773.0,359,87555
28085,Lincoln County,MS,47.5,26191.0,23,3335
18047,Franklin County,IN,48.2,17514.0,20,1301
17013,Calhoun County,IL,62.5,3783.0,1,660
27005,Becker County,MN,66.7,26110.0,17,2770
24045,Wicomico County,MD,66.2,80899.0,84,7983
40127,Pushmataha County,OK,44.8,8668.0,5,915
06109,Tuolumne County,CA,65.7,45325.0,105,7296
13049,Charlton County,GA,29.8,10935.0,5,878
48053,Burnet County,TX,66.0,38011.0,39,3623
47085,Humphreys County,TN,50.9,14586.0,18,1650
48029,Bexar County,TX,83.5,1497114.0,873,270038
42127,Wayne County,PA,69.3,42996.0,37,3581
27093,Meeker County,MN,58.6,17619.0,11,1575
12087,Monroe County,FL,88.8,62977.0,68,7962
21159,Martin County,KY,64.4,9018.0,10,1303
38057,Mercer County,ND,49.1,6289.0,2,754
48273,Kleberg County,TX,72.0,23341.0,15,3528
41011,Coos County,OR,66.8,52705.0,44,6122
21049,Clark County,KY,65.0,28215.0,25,5621
13171,Lamar County,GA,41.7,15106.0,14,1429
72117,Rincon Municipio,PR,81.4,11516.0,0,2256
56001,Albany County,WY,61.4,32627.0,8,3714
47107,McMinn County,TN,49.1,42388.0,73,6419
26055,Grand Traverse County,MI,77.2,74544.0,67,7065
29211,Sullivan County,MO,53.9,4725.0,4,451
48027,Bell County,TX,75.8,262932.0,165,29770
36001,Albany County,NY,82.2,249741.0,107,27907
37093,Hoke County,NC,50.5,40282.0,32,8644
05101,Newton County,AR,41.0,6257.0,5,469
53037,Kittitas County,WA,60.7,39869.0,22,4006
13191,McIntosh County,GA,47.4,12111.0,5,892
51109,Louisa County,VA,49.3,30050.0,31,3359
20189,Stevens County,KS,50.5,3944.0,8,566
39113,Montgomery County,OH,66.7,414980.0,433,48372
26141,Presque Isle County,MI,69.1,10639.0,10,467
21079,Garrard County,KY,58.5,13759.0,22,1956
36073,Orleans County,NY,63.6,32555.0,17,3047
